# Creation Date: 2018-Jan-09
|    ion |       wave | NIST | Instr | amplitude |      Source |
|  Th II |  3019.3691 |    1 |     0 |       810 | NIST+MURPHY |
|  Th II |  3019.4283 |    1 |     0 |        25 |        NIST |
|   Th I |  3019.5234 |    1 |     0 |       170 |        NIST |
|  Th II |  3020.3012 |    1 |     0 |       500 | NIST+MURPHY |
| UNKNWN |  3020.4988 |    0 |     0 |         1 |      MURPHY |
| UNKNWN |  3020.7696 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3021.2087 |    1 |     0 |        18 |        NIST |
|   Fe I |  3021.5188 |    0 |     0 |         1 |      MURPHY |
|   Th I |  3021.9349 |    1 |     0 |       110 | NIST+MURPHY |
|  Th II |  3022.3688 |    1 |     0 |       460 | NIST+MURPHY |
|  Th II |  3022.5891 |    1 |     0 |        12 |        NIST |
|  Th II |  3022.9421 |    1 |     0 |         6 |        NIST |
|  Th II |  3022.9756 |    1 |     0 |       540 | NIST+MURPHY |
| UNKNWN |  3023.2798 |    0 |     0 |         1 |      MURPHY |
|   Th I |  3023.4473 |    1 |     0 |         5 |        NIST |
| UNKNWN |  3024.3173 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3024.4505 |    1 |     0 |        51 |        NIST |
|  Th II |  3025.3557 |    1 |     0 |        32 |        NIST |
|  Th II |  3025.5495 |    1 |     0 |       140 |        NIST |
| UNKNWN |  3025.5947 |    0 |     0 |         1 |      MURPHY |
|   Th I |  3025.7638 |    1 |     0 |       260 |        NIST |
|  Th II |  3026.0112 |    1 |     0 |        96 | NIST+MURPHY |
|  Th II |  3026.2715 |    1 |     0 |       280 | NIST+MURPHY |
|   Th I |  3026.3296 |    1 |     0 |       640 | NIST+MURPHY |
|  Th II |  3026.5040 |    1 |     0 |        12 |        NIST |
|  Th II |  3026.5283 |    1 |     0 |        75 | NIST+MURPHY |
|  Th II |  3026.7261 |    1 |     0 |        63 |        NIST |
|  Th II |  3027.0317 |    1 |     0 |       220 | NIST+MURPHY |
|  Th II |  3027.4563 |    1 |     0 |      1000 | NIST+MURPHY |
|  Ar II |  3027.6268 |    1 |     0 |        35 | NIST+MURPHY |
|  Th II |  3028.0960 |    1 |     0 |       100 | NIST+MURPHY |
|   Th I |  3028.1093 |    1 |     0 |       180 | NIST+MURPHY |
|  Th II |  3028.4355 |    1 |     0 |         6 |        NIST |
|  Th II |  3028.4646 |    1 |     0 |        50 |        NIST |
|  Th II |  3028.4985 |    1 |     0 |        94 |        NIST |
| Th III |  3028.6444 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3028.7187 |    1 |     0 |        12 |        NIST |
|   Th I |  3028.7769 |    1 |     0 |       210 |        NIST |
| UNKNWN |  3028.9057 |    0 |     0 |         1 |      MURPHY |
| UNKNWN |  3029.0050 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3029.4589 |    1 |     0 |       600 | NIST+MURPHY |
|  Ar II |  3029.6030 |    1 |     0 |         3 |        NIST |
|   Th I |  3029.7129 |    1 |     0 |       150 | NIST+MURPHY |
|  Ar II |  3029.7958 |    1 |     0 |        47 | NIST+MURPHY |
| UNKNWN |  3029.8146 |    0 |     0 |         1 |      MURPHY |
| UNKNWN |  3030.0146 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3030.1599 |    1 |     0 |        12 |        NIST |
|  Th II |  3030.2960 |    1 |     0 |        51 |        NIST |
|  Th II |  3030.4910 |    1 |     0 |        64 |        NIST |
|  Th II |  3030.5740 |    1 |     0 |        32 |        NIST |
|   Th I |  3030.9171 |    1 |     0 |       130 |        NIST |
|   Th I |  3031.3699 |    1 |     0 |       980 | NIST+MURPHY |
|  Th II |  3031.4725 |    1 |     0 |       110 |        NIST |
|  Th II |  3031.7469 |    1 |     0 |       150 | NIST+MURPHY |
|   Th I |  3032.0786 |    1 |     0 |       440 | NIST+MURPHY |
|  Th II |  3032.1714 |    1 |     0 |       260 | NIST+MURPHY |
|  Th II |  3032.2229 |    1 |     0 |        71 | NIST+MURPHY |
|  Th II |  3032.4825 |    1 |     0 |        32 |        NIST |
|  Th II |  3032.5819 |    1 |     0 |       130 | NIST+MURPHY |
|   Th I |  3032.6155 |    1 |     0 |       130 |        NIST |
|  Th II |  3032.8376 |    1 |     0 |       570 | NIST+MURPHY |
|   Th I |  3032.8992 |    1 |     0 |       280 | NIST+MURPHY |
|  Th II |  3033.7169 |    1 |     0 |        12 |        NIST |
|  Th II |  3033.7778 |    1 |     0 |        96 |        NIST |
| UNKNWN |  3034.1867 |    0 |     0 |         1 |      MURPHY |
|  Ar II |  3034.3912 |    1 |     0 |        78 | NIST+MURPHY |
|   Th I |  3034.4780 |    1 |     0 |        26 |        NIST |
|  Th II |  3034.9484 |    1 |     0 |      1500 |        NIST |
|  Th II |  3035.2106 |    1 |     0 |       300 |        NIST |
|   Th I |  3035.5223 |    1 |     0 |       500 |        NIST |
|  Th II |  3035.6074 |    1 |     0 |       140 |        NIST |
|  Th II |  3035.7759 |    1 |     0 |       150 |        NIST |
|  Th II |  3035.9936 |    1 |     0 |       960 | NIST+MURPHY |
|  Th II |  3036.4211 |    1 |     0 |       150 |        NIST |
|  Th II |  3036.6468 |    1 |     0 |       260 | NIST+MURPHY |
|   Th I |  3037.4018 |    1 |     0 |        17 |        NIST |
|  Ar II |  3037.7710 |    1 |     0 |         0 |        NIST |
|  Th II |  3037.7931 |    1 |     0 |        77 |        NIST |
|  Th II |  3037.8218 |    1 |     0 |        51 |        NIST |
|  Th II |  3037.9953 |    1 |     0 |        88 |        NIST |
|  Th II |  3038.6502 |    1 |     0 |       100 |        NIST |
|  Th II |  3038.7261 |    1 |     0 |        12 |        NIST |
|  Th II |  3038.8898 |    1 |     0 |       200 |        NIST |
|   Th I |  3038.9542 |    1 |     0 |       180 |        NIST |
|  Th II |  3039.0483 |    1 |     0 |        12 |        NIST |
|   Th I |  3039.3012 |    1 |     0 |      1800 |        NIST |
|  Th II |  3039.4829 |    1 |     0 |       490 |        NIST |
|  Th II |  3039.7088 |    1 |     0 |       130 | NIST+MURPHY |
|  Th II |  3039.9014 |    1 |     0 |        12 |        NIST |
|  Th II |  3040.3118 |    1 |     0 |       100 |        NIST |
|  Th II |  3040.4153 |    1 |     0 |       180 |        NIST |
| UNKNWN |  3040.5534 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3040.9343 |    1 |     0 |       290 | NIST+MURPHY |
|  Th II |  3041.0617 |    1 |     0 |        51 |        NIST |
|  Th II |  3042.0479 |    1 |     0 |        12 |        NIST |
|   Th I |  3042.3180 |    1 |     0 |        70 |        NIST |
|   Th I |  3042.4000 |    1 |     0 |       390 |        NIST |
|  Th II |  3042.4930 |    1 |     0 |        12 |        NIST |
|   Th I |  3042.8253 |    1 |     0 |        86 |        NIST |
|  Th II |  3042.9712 |    1 |     0 |         6 |        NIST |
|  Th II |  3043.1933 |    1 |     0 |        64 |        NIST |
|  Ar II |  3043.3480 |    1 |     0 |         1 |        NIST |
|  Th II |  3043.5153 |    1 |     0 |        25 |        NIST |
|  Th II |  3043.9505 |    1 |     0 |       460 | NIST+MURPHY |
|  Th II |  3044.1342 |    1 |     0 |       250 | NIST+MURPHY |
|  Th II |  3045.6358 |    1 |     0 |       130 |        NIST |
|  Th II |  3045.9539 |    1 |     0 |       170 |        NIST |
|  Th II |  3046.4511 |    1 |     0 |      1300 |        NIST |
|  Ar II |  3046.9648 |    1 |     0 |         6 |        NIST |
|  Th II |  3047.0352 |    1 |     0 |        97 |        NIST |
|   Th I |  3047.2872 |    1 |     0 |         7 |        NIST |
|  Th II |  3047.4503 |    1 |     0 |         6 |        NIST |
|  Th II |  3047.6313 |    1 |     0 |        32 |        NIST |
|  Th II |  3047.8375 |    1 |     0 |      1200 | NIST+MURPHY |
|  Ar II |  3047.9390 |    1 |     0 |         0 |        NIST |
|  Th II |  3048.0924 |    1 |     0 |        32 |        NIST |
|   Th I |  3048.7027 |    1 |     0 |       610 |        NIST |
|  Ar II |  3048.9080 |    1 |     0 |         2 |        NIST |
|  Th II |  3048.9096 |    1 |     0 |        32 |        NIST |
|  Th II |  3049.1196 |    1 |     0 |       420 |        NIST |
|   Th I |  3049.5078 |    1 |     0 |        17 |        NIST |
|  Ar II |  3049.6710 |    1 |     0 |         2 |        NIST |
|   Th I |  3049.9409 |    1 |     0 |       180 |        NIST |
|  Th II |  3049.9792 |    1 |     0 |      2000 | NIST+MURPHY |
|  Th II |  3050.1894 |    1 |     0 |       110 |        NIST |
|  Th II |  3050.2340 |    1 |     0 |        32 |        NIST |
|  Th II |  3050.5307 |    1 |     0 |       760 |        NIST |
|  Th II |  3050.7494 |    1 |     0 |       450 | NIST+MURPHY |
|  Ar II |  3050.9300 |    1 |     0 |         1 |        NIST |
|   Th I |  3051.5190 |    1 |     0 |       230 |        NIST |
|   Ni I |  3051.7032 |    0 |     0 |         1 |      MURPHY |
|  Th II |  3051.8721 |    1 |     0 |       260 | NIST+MURPHY |
|  Th II |  3052.2274 |    1 |     0 |        13 |        NIST |
|  Th II |  3052.6803 |    1 |     0 |       240 | NIST+MURPHY |
|   Th I |  3053.0156 |    1 |     0 |       170 |        NIST |
|   Th I |  3053.1837 |    1 |     0 |         5 |        NIST |
|  Th II |  3053.2407 |    1 |     0 |         6 |        NIST |
|  Th II |  3053.3017 |    1 |     0 |        66 |        NIST |
|  Th II |  3053.6588 |    1 |     0 |        52 |        NIST |
|  Ar II |  3054.0390 |    1 |     0 |         5 |        NIST |
|   Th I |  3054.3500 |    1 |     0 |       260 |        NIST |
|   Th I |  3054.4234 |    1 |     0 |        86 |        NIST |
|  Th II |  3055.7803 |    1 |     0 |        33 |        NIST |
|  Th II |  3055.8475 |    1 |     0 |        67 |        NIST |
|  Ar II |  3056.1690 |    1 |     0 |         0 |        NIST |
|  Th II |  3056.4705 |    1 |     0 |        33 |        NIST |
|  Th II |  3056.8326 |    1 |     0 |        26 |        NIST |
|  Th II |  3056.9126 |    1 |     0 |        13 |        NIST |
|  Th II |  3056.9842 |    1 |     0 |        83 |        NIST |
|  Th II |  3057.3328 |    1 |     0 |        97 |        NIST |
|  Th II |  3057.4438 |    1 |     0 |        33 |        NIST |
|   Th I |  3057.5818 |    1 |     0 |       260 |        NIST |
|  Th II |  3057.7332 |    1 |     0 |        96 | NIST+MURPHY |
|  Th II |  3058.1999 |    1 |     0 |        13 |        NIST |
|  Th II |  3058.5259 |    1 |     0 |       250 |        NIST |
|   Th I |  3058.5430 |    1 |     0 |       170 |        NIST |
|  Th II |  3058.7259 |    1 |     0 |        82 |        NIST |
|  Th II |  3058.7893 |    1 |     0 |       180 |        NIST |
|   Th I |  3058.9179 |    1 |     0 |       390 |        NIST |
|  Th II |  3059.0269 |    1 |     0 |       130 |        NIST |
|  Th II |  3059.1962 |    1 |     0 |        53 |        NIST |
|  Th II |  3059.3154 |    1 |     0 |       460 | NIST+MURPHY |
|  Th II |  3059.9524 |    1 |     0 |        53 |        NIST |
|  Th II |  3060.2104 |    1 |     0 |        20 |        NIST |
|  Th II |  3060.3945 |    1 |     0 |        20 |        NIST |
|   Th I |  3060.5875 |    1 |     0 |       350 |        NIST |
|  Th II |  3060.7886 |    1 |     0 |        20 |        NIST |
|  Th II |  3061.0669 |    1 |     0 |       880 |        NIST |
|   Th I |  3061.3286 |    1 |     0 |      3000 | NIST+MURPHY |
|   Th I |  3061.4718 |    1 |     0 |       130 |        NIST |
|  Ar II |  3061.7957 |    1 |     0 |         7 | NIST+MURPHY |
|   Th I |  3061.8178 |    1 |     0 |       170 |        NIST |
|  Th II |  3062.1321 |    1 |     0 |       140 |        NIST |
|  Th II |  3062.1495 |    1 |     0 |        90 |        NIST |
|  Th II |  3062.2348 |    1 |     0 |        99 |        NIST |
|  Th II |  3062.5897 |    1 |     0 |      1800 | NIST+MURPHY |
|   Th I |  3062.7024 |    1 |     0 |       490 |        NIST |
|   Th I |  3063.3429 |    1 |     0 |       180 |        NIST |
|   Th I |  3063.4072 |    1 |     0 |       170 |        NIST |
|  Ar II |  3063.5330 |    1 |     0 |         3 |        NIST |
|  Th II |  3063.6743 |    1 |     0 |        33 |        NIST |
|  Th II |  3063.9186 |    1 |     0 |      1100 |        NIST |
|  Th II |  3064.0167 |    1 |     0 |       510 |        NIST |
|   Th I |  3064.0475 |    1 |     0 |       130 |        NIST |
|  Th II |  3064.0754 |    1 |     0 |        67 |        NIST |
|  Th II |  3064.1087 |    1 |     0 |       180 |        NIST |
|  Th II |  3064.4925 |    1 |     0 |        54 |        NIST |
|   Th I |  3064.5276 |    1 |     0 |        13 |        NIST |
