|  ion |        wave | NIST | amplitude | Instr |          Source |
| ThII | 3832.823406 |    1 |      4136 |    32 | Louis_Pepe_2007 |
| ThII | 3833.876225 |    1 |      1183 |    32 | Louis_Pepe_2007 |
|  ArI | 3835.766113 |    1 |    114520 |    32 | Louis_Pepe_2007 |
|  ThI |  3836.43572 |    1 |      3292 |    32 | Louis_Pepe_2007 |
|  ThI |  3836.50216 |    1 |      6877 |    32 | Louis_Pepe_2007 |
|  ThI |  3836.79867 |    1 |     11988 |    32 | Louis_Pepe_2007 |
|  ThI | 3837.047479 |    1 |      2539 |    32 | Louis_Pepe_2007 |
|  ThI |  3837.62848 |    1 |     26661 |    32 | Louis_Pepe_2007 |
|  ThI | 3837.673857 |    1 |     98930 |    32 | Louis_Pepe_2007 |
|  ThI | 3837.809522 |    1 |     12444 |    32 | Louis_Pepe_2007 |
|  ThI | 3838.112882 |    1 |      1918 |    32 | Louis_Pepe_2007 |
|  ThI |  3838.96419 |    1 |    130832 |    32 | Louis_Pepe_2007 |
|  ThI | 3841.520122 |    1 |      7462 |    32 | Louis_Pepe_2007 |
|  ThI | 3841.889593 |    1 |     29450 |    32 | Louis_Pepe_2007 |
| ArII | 3842.608181 |    1 |     16354 |    32 | Louis_Pepe_2007 |
| ThII | 3843.050088 |    1 |     14650 |    32 | Louis_Pepe_2007 |
|  ThI | 3843.640176 |    1 |      2490 |    32 | Louis_Pepe_2007 |
|  ThI | 3843.832999 |    1 |      3863 |    32 | Louis_Pepe_2007 |
|  ThI | 3843.894098 |    1 |      3100 |    32 | Louis_Pepe_2007 |
|  ThI | 3843.987944 |    1 |     24564 |    32 | Louis_Pepe_2007 |
|  ThI | 3844.110109 |    1 |      5851 |    32 | Louis_Pepe_2007 |
| ArII | 3845.654015 |    1 |      3574 |    32 | Louis_Pepe_2007 |
| ArII | 3845.821642 |    1 |      6925 |    32 | Louis_Pepe_2007 |
|  ThI |   3846.0235 |    1 |      4358 |    32 | Louis_Pepe_2007 |
|  ThI | 3846.183099 |    1 |      4579 |    32 | Louis_Pepe_2007 |
| ArII | 3846.496175 |    1 |     47054 |    32 | Louis_Pepe_2007 |
| ThII | 3846.624743 |    1 |      1526 |    32 | Louis_Pepe_2007 |
| ThII | 3847.339887 |    1 |      1481 |    32 | Louis_Pepe_2007 |
|  ThI | 3847.717742 |    1 |      5016 |    32 | Louis_Pepe_2007 |
|  ThI | 3847.978316 |    1 |     21650 |    32 | Louis_Pepe_2007 |
|  ThI | 3848.710564 |    1 |      5818 |    32 | Louis_Pepe_2007 |
| ThII | 3850.273996 |    1 |      1870 |    32 | Louis_Pepe_2007 |
|  ThI |   3851.0031 |    1 |      5078 |    32 | Louis_Pepe_2007 |
| ThII | 3851.225048 |    1 |      2707 |    32 | Louis_Pepe_2007 |
| ThII | 3851.375259 |    1 |      1159 |    32 | Louis_Pepe_2007 |
| ArII | 3851.673488 |    1 |    287908 |    32 | Louis_Pepe_2007 |
|  ThI | 3852.166737 |    1 |      4070 |    32 | Louis_Pepe_2007 |
|  ThI | 3852.250677 |    1 |      7304 |    32 | Louis_Pepe_2007 |
|  ThI | 3853.227582 |    1 |     59418 |    32 | Louis_Pepe_2007 |
| ThII | 3854.051259 |    1 |      1132 |    32 | Louis_Pepe_2007 |
|  ThI |  3854.92184 |    1 |      4416 |    32 | Louis_Pepe_2007 |
| ThII | 3855.603289 |    1 |     17652 |    32 | Louis_Pepe_2007 |
| ThII | 3855.969637 |    1 |      1085 |    32 | Louis_Pepe_2007 |
| ArII | 3856.252114 |    1 |      2516 |    32 | Louis_Pepe_2007 |
|  ThI | 3857.611844 |    1 |      5183 |    32 | Louis_Pepe_2007 |
|  ThI | 3857.717157 |    1 |      8577 |    32 | Louis_Pepe_2007 |
| ThII | 3858.601936 |    1 |      2521 |    32 | Louis_Pepe_2007 |
| ThII | 3863.753212 |    1 |      4788 |    32 | Louis_Pepe_2007 |
| ThII | 3863.801294 |    1 |      1601 |    32 | Louis_Pepe_2007 |
| ThII | 3864.501293 |    1 |     17403 |    32 | Louis_Pepe_2007 |
|  ArI | 3865.363186 |    1 |       860 |    32 | Louis_Pepe_2007 |
|  ThI | 3866.067061 |    1 |      2103 |    32 | Louis_Pepe_2007 |
| ThII | 3867.165849 |    1 |      1148 |    32 | Louis_Pepe_2007 |
|  ThI | 3868.004626 |    1 |     14044 |    32 | Louis_Pepe_2007 |
| ThII | 3868.674754 |    1 |      1494 |    32 | Louis_Pepe_2007 |
| ThII | 3868.948613 |    1 |      1194 |    32 | Louis_Pepe_2007 |
|  ThI | 3869.351878 |    1 |      4370 |    32 | Louis_Pepe_2007 |
| ArII | 3869.625305 |    1 |    173914 |    32 | Louis_Pepe_2007 |
|  ThI | 3870.760238 |    1 |     33176 |    32 | Louis_Pepe_2007 |
| ThII | 3872.553092 |    1 |      1136 |    32 | Louis_Pepe_2007 |
| ArII | 3873.234962 |    1 |     15722 |    32 | Louis_Pepe_2007 |
| ThII | 3873.457278 |    1 |      1599 |    32 | Louis_Pepe_2007 |
|  ThI | 3873.768907 |    1 |     10393 |    32 | Louis_Pepe_2007 |
| ThII | 3873.820103 |    1 |     13449 |    32 | Louis_Pepe_2007 |
|  ThI | 3874.245786 |    1 |     42419 |    32 | Louis_Pepe_2007 |
|  ThI | 3874.516768 |    1 |      6175 |    32 | Louis_Pepe_2007 |
|  ThI | 3874.571943 |    1 |     94974 |    32 | Louis_Pepe_2007 |
|  ThI | 3874.920161 |    1 |    424686 |    32 | Louis_Pepe_2007 |
|  ThI | 3875.341905 |    1 |     82454 |    32 | Louis_Pepe_2007 |
|  ThI | 3875.960671 |    1 |    189023 |    32 | Louis_Pepe_2007 |
| ArII | 3876.363528 |    1 |     32694 |    32 | Louis_Pepe_2007 |
|  ThI | 3876.471876 |    1 |     71726 |    32 | Louis_Pepe_2007 |
|  ThI | 3876.745011 |    1 |     13544 |    32 | Louis_Pepe_2007 |
|  ThI | 3878.561866 |    1 |      9302 |    32 | Louis_Pepe_2007 |
|  ThI | 3878.654883 |    1 |      2369 |    32 | Louis_Pepe_2007 |
|  ThI | 3878.708611 |    1 |      7194 |    32 | Louis_Pepe_2007 |
|  ThI | 3879.761672 |    1 |     13236 |    32 | Louis_Pepe_2007 |
|  ThI | 3880.368188 |    1 |     11481 |    32 | Louis_Pepe_2007 |
|  ThI | 3880.547224 |    1 |      5818 |    32 | Louis_Pepe_2007 |
|  ThI | 3880.743712 |    1 |     60651 |    32 | Louis_Pepe_2007 |
|  ThI | 3881.293898 |    1 |      8958 |    32 | Louis_Pepe_2007 |
| ArII | 3881.432284 |    1 |     16202 |    32 | Louis_Pepe_2007 |
| ThII | 3882.599007 |    1 |      1560 |    32 | Louis_Pepe_2007 |
| ThII | 3883.244354 |    1 |      2253 |    32 | Louis_Pepe_2007 |
|  ThI | 3883.424255 |    1 |      1923 |    32 | Louis_Pepe_2007 |
|  ThI | 3884.868572 |    1 |      1916 |    32 | Louis_Pepe_2007 |
| ThII | 3885.624816 |    1 |      2070 |    32 | Louis_Pepe_2007 |
| ThII | 3886.168109 |    1 |      4813 |    32 | Louis_Pepe_2007 |
|  ThI | 3886.325906 |    1 |      4362 |    32 | Louis_Pepe_2007 |
