|  ion |       wave | NIST | Instr | amplitude |     Source |
| Ne I | 11412.2575 |  1.0 |   0.0 |     28000 |       NIST |
| Xe I |   11418.17 |  1.0 |   0.0 |       950 |       NIST |
| Ar I |  11444.965 |  1.0 |   0.0 |      4900 |       NIST |
| Kr I |  11460.614 |  1.0 |   0.0 |      6100 |       NIST |
| Ar I |   11470.69 |  1.0 |   0.0 |      1400 |       NIST |
| Ar I |  11491.254 |  1.0 |   0.0 |     27000 |       NIST |
| Xe I |   11494.37 |  1.0 |   0.0 |       700 |       NIST |
| Ne I | 11528.1755 |  1.0 |   0.0 |     22500 |       NIST |
| Ne I | 11539.5028 |  1.0 |   0.0 |     25000 |       NIST |
| Ar I |   11583.62 |  1.0 |   0.0 |       180 |       NIST |
| Ne I | 11604.7128 |  1.0 |   0.0 |      7000 |       NIST |
| Ne I | 11617.2599 |  1.0 |   0.0 |     42000 |       NIST |
| Ar I |  11671.904 |  1.0 |   0.0 |     15000 |       NIST |
| Ne I | 11691.2022 |  1.0 |   0.0 |      8000 |       NIST |
| Ar I |  11722.696 |  1.0 |   0.0 |      5000 |       NIST |
| Ar I |   11736.45 |  1.0 |   0.0 |      1300 |       NIST |
| Xe I |   11745.45 |  1.0 |   0.0 |     16000 |       NIST |
| Ne I | 11770.0137 |  1.0 |   0.0 |     38000 |       NIST |
| Ne I | 11792.2712 |  1.0 |   0.0 |     12500 |       NIST |
| Ne I | 11793.1165 |  1.0 |   0.0 |      2500 |       NIST |
| Kr I |   11795.64 |  1.0 |   0.0 |      3000 |       NIST |
| Xe I |   11796.79 |  1.0 |   0.0 |      2550 |       NIST |
| Xe I |   11860.56 |  1.0 |   0.0 |      1750 |       NIST |
| Xe I |   11861.11 |  1.0 |   0.0 |      1750 |       NIST |
| Xe I |   11877.61 |  1.0 |   0.0 |      1750 |       NIST |
| Xe I |   11915.36 |  1.0 |   0.0 |       550 |       NIST |
| Ar I |   11946.57 |  1.0 |   0.0 |      1250 |       NIST |
| Xe I |   11956.27 |  1.0 |   0.0 |       800 |       NIST |
| Ne I | 11988.1939 |  1.0 |   0.0 |     13000 |       NIST |
| Ar I |   12029.94 |  1.0 |   0.0 |      1200 |       NIST |
| Ne I | 12069.6364 |  1.0 |   0.0 |     15000 |       NIST |
| Kr I |   12080.52 |  1.0 |   0.0 |      2200 |       NIST |
| Xe I |   12088.11 |  1.0 |   0.0 |      1300 |       NIST |
| Kr I |   12121.11 |  1.0 |   0.0 |      2500 |       NIST |
| Kr I |   12126.87 |  1.0 |   0.0 |      1800 |       NIST |
| Ar I |   12143.06 |  1.0 |   0.0 |     12500 |       NIST |
| Kr I | 12207.8754 |  1.0 |   0.0 |     11500 |       NIST |
| Xe I |   12238.59 |  1.0 |   0.0 |      2500 |       NIST |
| Xe I |   12261.16 |  1.0 |   0.0 |       400 |       NIST |
| Xe I |   12276.24 |  1.0 |   0.0 |       300 |       NIST |
| Kr I |   12324.45 |  1.0 |   0.0 |       300 |       NIST |
| Ar I |   12346.77 |  1.0 |   0.0 |      8500 |       NIST |
| Ar I |    12359.2 |  1.0 |   0.0 |      1500 |       NIST |
| Xe I |   12454.62 |  1.0 |   0.0 |       300 |       NIST |
| Ne I | 12462.7992 |  1.0 |   0.0 |      2000 |       NIST |
| Ar I |   12557.76 |  1.0 |   0.0 |       300 |       NIST |
| Ar I |   12625.07 |  1.0 |   0.0 |      2000 |       NIST |
| Xe I |   12626.85 |  1.0 |   0.0 |     80000 |       NIST |
| Ar I |   12641.94 |  1.0 |   0.0 |      1400 | U Kentucky |
| Ne I | 12643.7754 |  1.0 |   0.0 |       850 |       NIST |
| Ne I | 12646.1981 |  1.0 |   0.0 |      1250 |       NIST |
| Ne I | 12654.4433 |  1.0 |   0.0 |       700 |       NIST |
| Ne I | 12661.8089 |  1.0 |   0.0 |       800 |       NIST |
| Ne I | 12687.0027 |  1.0 |   0.0 |       600 |       NIST |
| Ne I | 12692.6745 |  1.0 |   0.0 |     17000 |       NIST |
| Ar I |  12705.756 |  1.0 |   0.0 |     77000 |       NIST |
| Ar I |  12736.901 |  1.0 |   0.0 |     19000 |       NIST |
| Ar I |  12749.719 |  1.0 |   0.0 |     13000 |       NIST |
| Ne I | 12752.6124 |  1.0 |   0.0 |      1200 |       NIST |
| Ne I | 12773.0181 |  1.0 |   0.0 |      3000 |       NIST |
| Kr I |   12786.02 |  1.0 |   0.0 |      8000 |       NIST |
| Kr I |   12865.41 |  1.0 |   0.0 |     12000 |       NIST |
| Kr I |   12882.26 |  1.0 |   0.0 |     55000 |       NIST |
| Ne I | 12915.5459 |  1.0 |   0.0 |     25000 |       NIST |
| Ar I |  12936.733 |  1.0 |   0.0 |     48000 |       NIST |
| Kr I |   12981.53 |  1.0 |   0.0 |       500 |       NIST |
| Kr I |   12988.87 |  1.0 |   0.0 |      3500 |       NIST |
| Ar I |  13011.822 |  1.0 |   0.0 |     65000 |       NIST |
| Kr I |  13123.705 |  1.0 |   0.0 |       300 |       NIST |
| Kr I |  13193.726 |  1.0 |   0.0 |       700 |       NIST |
| Kr I |   13214.28 |  1.0 |   0.0 |      1900 |       NIST |
| Ne I | 13222.8579 |  1.0 |   0.0 |     12000 |       NIST |
| Ar I |  13231.725 |  1.0 |   0.0 |    100000 |       NIST |
| Ar I |   13234.52 |  1.0 |   0.0 |     32000 |       NIST |
| Ar I |   13305.95 |  1.0 |   0.0 |      4200 | U Kentucky |
| Kr I |   13307.94 |  1.0 |   0.0 |       700 |       NIST |
| Ar I |   13333.83 |  1.0 |   0.0 |      3500 | U Kentucky |
| Xe I |    13335.5 |  1.0 |   0.0 |      1200 |       NIST |
| Kr I |   13341.53 |  1.0 |   0.0 |     10000 |       NIST |
| Ar I |   13410.25 |  1.0 |   0.0 |     32000 |       NIST |
| Xe I |   13546.86 |  1.0 |   0.0 |     14000 |       NIST |
| Ar I |  13577.329 |  1.0 |   0.0 |     28000 |       NIST |
| Ar I |  13603.052 |  1.0 |   0.0 |     34000 |       NIST |
| Xe I |   13660.21 |  1.0 |   0.0 |    120000 |       NIST |
| Kr I |   13662.12 |  1.0 |   0.0 |     57000 |       NIST |
| Kr I |   13767.48 |  1.0 |   0.0 |      1500 |       NIST |
| Kr I |    13803.8 |  1.0 |   0.0 |       800 |       NIST |
| Ar I |  13829.495 |  1.0 |   0.0 |     34000 |       NIST |
| Ar I |   13832.18 |  1.0 |   0.0 |      4500 | U Kentucky |
| Kr I |   13836.66 |  1.0 |   0.0 |      7500 |       NIST |
| Ar I |    13870.8 |  1.0 |   0.0 |       600 | U Kentucky |
