# Creation Date: 2023-10-30
# taken from linelist in https://www2.keck.hawaii.edu/inst/hires/observing.html
# and plots in https://www2.keck.hawaii.edu/inst/hires/ThAr_atlas.html
# converted to vacuum, and matched to NIST,
# see dev_algorithms/wavelengths/hires_ThAr_linelist/create_hires_ThAr_list.py in PypeIt-development-suite
# for wavelength ranges not covered in the Keck webpage, we use NIST+MURPHY from ThAr_lines.dat
|    ion |       wave | NIST | Instr | amplitude |      Source |
|   Th I |  3258.3060 |    1 |     0 |      3900 |   Keck+NIST |
|   Th I |  3259.0449 |    1 |     0 |       530 |   Keck+NIST |
|   Th I |  3260.0005 |    1 |     0 |      1000 |   Keck+NIST |
|  Th II |  3260.5563 |    1 |     0 |       360 |   Keck+NIST |
|  Th II |  3261.8818 |    1 |     0 |       540 |   Keck+NIST |
|  Th II |  3263.6090 |    1 |     0 |      2300 |   Keck+NIST |
|  Th II |  3266.5192 |    1 |     0 |       230 |   Keck+NIST |
|   Th I |  3272.8342 |    1 |     0 |       670 |   Keck+NIST |
|   Th I |  3272.9697 |    1 |     0 |      4000 |   Keck+NIST |
|  Th II |  3274.8592 |    1 |     0 |       760 |   Keck+NIST |
|  Th II |  3276.0113 |    1 |     0 |      1100 |   Keck+NIST |
|  Th II |  3281.3163 |    1 |     0 |       560 |   Keck+NIST |
|   Th I |  3281.9940 |    1 |     0 |       500 |   Keck+NIST |
|  Ar II |  3282.6468 |    1 |     0 |        43 |   Keck+NIST |
|  Th II |  3283.9253 |    1 |     0 |       500 |   Keck+NIST |
|   Th I |  3286.6989 |    1 |     0 |      1600 |   Keck+NIST |
|  Th II |  3287.5296 |    1 |     0 |       910 |   Keck+NIST |
|  Th II |  3288.7362 |    1 |     0 |      2600 |   Keck+NIST |
| Th III |  3291.5473 |    1 |     0 |      3700 |   Keck+NIST |
|  Th II |  3292.6874 |    1 |     0 |      3200 |   Keck+NIST |
|  Th II |  3293.4691 |    1 |     0 |      2200 |   Keck+NIST |
|  Th II |  3294.8966 |    1 |     0 |       710 |   Keck+NIST |
|  Th II |  3295.1938 |    1 |     0 |       310 |   Keck+NIST |
|  Th II |  3297.5565 |    1 |     0 |       450 |   Keck+NIST |
|  Th II |  3298.3242 |    1 |     0 |       340 |   Keck+NIST |
|  Th II |  3298.7828 |    1 |     0 |       510 |   Keck+NIST |
|   Th I |  3298.9994 |    1 |     0 |      1300 |   Keck+NIST |
|  Th II |  3300.6187 |    1 |     0 |         0 |   Keck+NIST |
|   Th I |  3302.6016 |    1 |     0 |      3200 |   Keck+NIST |
|   Th I |  3305.1895 |    1 |     0 |     14000 |   Keck+NIST |
|   Th I |  3306.2550 |    1 |     0 |      1300 |   Keck+NIST |
|  Ar II |  3308.1804 |    1 |     0 |       126 |   Keck+NIST |
|  Th II |  3309.4263 |    1 |     0 |       130 |   Keck+NIST |
|   Th I |  3310.3179 |    1 |     0 |      3200 |   Keck+NIST |
| Th III |  3314.6320 |    1 |     0 |      1700 |   Keck+NIST |
