#*
#*                   B D  + 2 6   2 6 0 6
#*
#*   Table file for the flux standard star BD+26 2606, taken from
#*   Oke and Gunn, Ap.J. 266, 713 (1983).  Note that the data
#*   points are all for 40 A bands. This file is designed for
#*   use with the Figaro routine GSPIKE.
#*
#SET .Z.UNITS = "AB Magnitudes"
#SET .Z.LABEL = "Flux"
#SET .Z.REVSCALE = 1
#SET .TABLE.BANDWIDTH = 40
#*
 3080  11.155 40
 3160  11.072 40
 3240  10.988 40
 3320  10.935 40
 3400  10.866 40
 3480  10.806 40
 3560  10.750 40
 3640  10.698 40
 3680  10.670 40
 3720  10.651 40
 3760  10.540 40
 3800  10.394 40
 3840  10.393 40
 3880  10.356 40
 3920  10.292 40
 3960  10.318 40
 3980  10.317 40
 4000  10.144 40
 4020  10.116 40
 4060  10.104 40
 4100  10.184 40
 4140  10.060 40
 4200  10.021 40
 4240  10.005 40
 4260  10.008 40
 4300  10.060 40
 4340  10.139 40
 4380  9.971 40
 4400  9.955 40
 4560  9.908 40
 4760  9.843 40
 4800  9.824 40
 4820  9.822 40
 4860  9.930 40
 4900  9.804 40
 4920  9.800 40
 4960  9.782 40
 5000  9.768 40
 5120  9.741 40
 5240  9.719 40
 5400  9.693 40
 5560  9.660 40
 5760  9.630 40
 6020  9.594 40
 6420  9.552 40
 6460  9.548 40
 6500  9.550 40
 6540  9.590 40
 6560  9.637 40
 6580  9.597 40
 6620  9.545 40
 6660  9.539 40
 6700  9.535 40
 6740  9.532 40
 6780  9.527 40
 7100  9.502 40
 7460  9.485 40
 7780  9.474 40
 8100  9.463 40
 8380  9.457 40
 8780  9.457 40
 9300  9.458 40
 9700  9.458 40
 9940  9.461 40
10260  9.462 40
10820  9.468 40
11140  9.473 40
12000  9.488 40
