|        name |       wave | f_an | f_bl | f_st | intensity |         Ref |                     Comment |
|  Ne 8634.64 |  8634.6443 |    0 |    2 |    0 |     600.0 | NIST,spec2d |                             |
|  Ne 8647.04 |  8647.0383 |    0 |    2 |    0 |     300.0 | NIST,spec2d |                             |
|  Ne 8654.38 |  8654.3802 |    0 |    2 |    0 |    1500.0 | NIST,spec2d |                             |
|  Ne 8655.52 |  8655.5195 |    0 |    2 |    0 |     400.0 | NIST,spec2d |                             |
|  Ne 8679.49 |  8679.4896 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 8681.92 |  8681.9182 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 8704.11 |  8704.1086 |    1 |    1 |    4 |     200.0 | NIST,spec2d |                             |
|  Ne 8771.65 |   8771.653 |    0 |    2 |    0 |     400.0 | NIST,spec2d |                             |
|  Ne 8778.73 |  8778.7294 |    0 |    2 |    0 |     150.0 | NIST,spec2d |                             |
|  Ne 8780.62 |  8780.6176 |    0 |    2 |    0 |    1200.0 | NIST,spec2d |                             |
|  Ne 8783.75 |  8783.7499 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
|  Ne 8853.86 |  8853.8631 |    0 |    2 |    0 |     700.0 | NIST,spec2d |                             |
|  Ne 8865.75 |  8865.7514 |    0 |    2 |    0 |     500.0 | NIST,spec2d |                             |
|  Ne 8919.50 |  8919.4966 |   -1 |    0 |    0 |     300.0 | NIST,spec2d |             # trouble maker |
|  Ne 8988.55 |  8988.5521 |    0 |    2 |    0 |     200.0 | NIST,spec2d |                             |
|  Ne 9148.67 |  9148.6666 |    0 |    1 |    3 |     600.0 | NIST,spec2d | weaker than neighbors - DPF |
|  Ne 9201.75 |  9201.7539 |   -1 |    0 |    0 |     600.0 | NIST,spec2d |               trouble maker |
|  Ne 9220.05 |   9220.053 |    0 |    2 |    0 |     400.0 | NIST,spec2d |                             |
|  Ne 9221.57 |  9221.5749 |    0 |    2 |    0 |     200.0 | NIST,spec2d |                             |
|  Ne 9226.68 |   9226.685 |    0 |    2 |    0 |     200.0 | NIST,spec2d |                             |
|  Ne 9300.85 |  9300.8471 |   -1 |    0 |    0 |     600.0 | NIST,spec2d | never part of a good fit... |
|  Ne 9310.58 |  9310.5782 |    0 |    2 |    0 |     150.0 | NIST,spec2d |                             |
|  Ne 9313.97 |  9313.9669 |    0 |    2 |    0 |     300.0 | NIST,spec2d |                             |
|  Ne 9326.50 |  9326.5011 |   -1 |    0 |    0 |     600.0 | NIST,spec2d |                             |
|  Ne 9373.30 |  9373.3019 |    0 |    2 |    0 |     200.0 | NIST,spec2d |                             |
|  Ne 9425.37 |  9425.3727 |    1 |    1 |    4 |     500.0 | NIST,spec2d |                             |
|  Ne 9459.20 |  9459.2032 |    1 |    1 |    4 |     300.0 | NIST,spec2d |                             |
|  Ne 9486.68 |  9486.6755 |    1 |    1 |    4 |     500.0 | NIST,spec2d |                             |
|  Ne 9534.16 |  9534.1563 |    1 |    1 |    4 |     500.0 | NIST,spec2d |                             |
|  Ne 9547.40 |  9547.3983 |    1 |    1 |    4 |     300.0 | NIST,spec2d |                             |
|  Ne 9577.01 |  9577.0063 |    0 |    2 |    0 |     120.0 | NIST,spec2d |                             |
|  Ne 9665.41 |  9665.4126 |    0 |    2 |    0 |    1000.0 | NIST,spec2d |                             |
| Ne 10562.40 | 10562.3968 |    1 |    1 |    4 |     200.0 | NIST,spec2d |                             |
| Ne 10798.03 | 10798.0313 |    1 |    1 |    4 |     150.0 | NIST,spec2d |                             |
| Ne 10844.47 | 10844.4655 |    1 |    1 |    4 |     200.0 | NIST,spec2d |                             |
