# SIMPLE  =                    T / Written by IDL:  Tue Aug 19 16:14:18 2008
# BITPIX  =                  -32 / Number of bits per data pixel
# NAXIS   =                    2 / Number of data axes
# NAXIS1  =                21617 /
# NAXIS2  =                    3 /
# DATE    = '2008-08-20'         / Creation UTC (CCCC-MM-DD) date of FITS header
# NORDERS =                    1 / Number of Orders
# ORDERS  = '1       '           / Order Numbers
# NAPS    =                    1 / Number of Apertures
# XUNITS  = 'A      '           / Wavelength Units
# YUNITS  = 'ergss-1cm-2A-1'     / Flux Units
# COMMENT FITS (Flexible Image Transport System) format is defined in 'Astronomy
# COMMENT and Astrophysics', volume 376, page 359; bibcode 2001A&A...376..359H
# Converted vacuum by Feige Wang
# END
#      WAVELENGTH            FLUX    Flag
#       angstroms            flam     none
  1321.1100000000001   5.24834e-09    1.0  
             1324.08   3.14672e-09    1.0  
             1327.04    4.1804e-09    1.0  
             1330.01    5.4834e-09    1.0  
             1332.97   4.50443e-09    1.0  
  1335.9399999999998   1.65544e-09    1.0  
              1338.9   5.44206e-09    1.0  
  1341.8700000000001   4.46397e-09    1.0  
             1344.83   4.99466e-09    1.0  
  1347.8000000000002   6.06123e-09    1.0  
             1350.76    5.0717e-09    1.0  
             1353.73   4.53189e-09    1.0  
             1356.69   6.38785e-09    1.0  
             1359.66   4.21462e-09    1.0  
             1362.62   4.95463e-09    1.0  
  1365.5900000000001   4.78069e-09    1.0  
             1368.55   2.71848e-09    1.0  
             1371.52    5.8471e-09    1.0  
  1374.4799999999998   5.75016e-09    1.0  
             1377.45   6.59244e-09    1.0  
             1380.41   5.17079e-09    1.0  
  1383.3799999999999   4.67163e-09    1.0  
  1386.3400000000001   5.97385e-09    1.0  
             1389.31   6.06646e-09    1.0  
             1392.27   5.43407e-09    1.0  
             1395.24   6.48444e-09    1.0  
              1398.2   5.57752e-09    1.0  
  1401.1699999999998   5.34234e-09    1.0  
             1404.13   5.81502e-09    1.0  
              1407.1   5.01027e-09    1.0  
             1410.06   4.72162e-09    1.0  
  1413.0300000000002   6.40957e-09    1.0  
             1415.99   5.66714e-09    1.0  
             1418.96   5.43347e-09    1.0  
             1421.92   6.15187e-09    1.0  
             1424.89   3.71859e-09    1.0  
             1427.85    6.2758e-09    1.0  
             1430.82   3.47698e-09    1.0  
             1433.78   4.54858e-09    1.0  
             1436.75   6.72203e-09    1.0  
  1439.7099999999998   6.59998e-09    1.0  
             1442.68   5.41753e-09    1.0  
  1445.6399999999999   6.90457e-09    1.0  
             1448.61   6.78193e-09    1.0  
  1451.5700000000002   6.66677e-09    1.0  
             1454.54   6.95341e-09    1.0  
              1457.5   6.78629e-09    1.0  
             1460.47   6.76627e-09    1.0  
             1463.43   3.11899e-09    1.0  
  1466.3999999999999   6.73428e-09    1.0  
  1469.3600000000001   5.72351e-09    1.0  
             1472.33   6.01498e-09    1.0  
             1475.29   6.08327e-09    1.0  
  1478.2600000000002   5.10352e-09    1.0  
             1481.22   4.89795e-09    1.0  
             1484.19   6.99483e-09    1.0  
             1487.15     5.825e-09    1.0  
  1490.1200000000001   7.01508e-09    1.0  
             1493.08   5.72354e-09    1.0  
             1496.05   7.15512e-09    1.0  
             1499.01   6.99862e-09    1.0  
             1501.98   6.06485e-09    1.0  
  1504.9399999999998   7.32515e-09    1.0  
             1507.91   6.45363e-09    1.0  
             1510.87   4.04655e-09    1.0  
             1513.84   6.18744e-09    1.0  
  1516.8000000000002   7.21574e-09    1.0  
             1519.77   7.13228e-09    1.0  
             1522.73   7.17506e-09    1.0  
              1525.7   6.69404e-09    1.0  
             1528.66   7.09327e-09    1.0  
  1531.6299999999999   6.57517e-09    1.0  
  1534.5900000000001   6.14396e-09    1.0  
             1537.56   6.98296e-09    1.0  
             1540.52   6.80774e-09    1.0  
  1543.4899999999998   6.94778e-09    1.0  
             1546.45    5.8926e-09    1.0  
             1549.42   7.55731e-09    1.0  
  1552.3799999999999    5.3018e-09    1.0  
  1555.3500000000001    3.9235e-09    1.0  
             1558.31    6.0739e-09    1.0  
             1561.28   1.25849e-09    1.0  
             1564.24   5.26377e-09    1.0  
             1567.21   6.90169e-09    1.0  
  1570.1699999999998   4.86485e-09    1.0  
             1573.13   6.25101e-09    1.0  
              1576.1   7.27046e-09    1.0  
             1579.06   6.98458e-09    1.0  
  1582.0300000000002   6.92599e-09    1.0  
