|      wave | amplitude | ion | NIST | Instr |                         Source |
| 10287.576 |      33.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10289.464 |     308.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10298.824 |     109.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10312.298 |      35.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10312.391 |      35.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  10343.03 |      3.16 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10349.952 |   0.00888 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10356.342 |       6.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10357.312 |       6.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10375.641 |     225.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  10399.36 |      84.1 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10421.366 |     237.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10430.798 |      1.95 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10432.012 |      1.95 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10453.395 |      64.6 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10472.057 |     157.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10511.916 |      34.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10527.346 |      75.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10527.969 |      75.3 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10575.569 |      13.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10588.359 |      27.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10589.165 |      27.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10654.707 |      7.67 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10655.706 |      7.67 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10690.904 |      9.09 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10694.993 |      4.91 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10699.948 |      30.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  10703.21 |   0.00617 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10706.333 |      15.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  10713.59 |      80.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10723.305 |      36.5 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  10731.64 |     152.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10746.145 |      61.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10753.871 |     182.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10775.024 |      64.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10832.243 |      49.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10834.283 |     463.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10844.717 |     169.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10859.577 |      56.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10859.679 |      56.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10898.609 |     101.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10926.349 |     336.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10951.316 |     128.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 10975.177 |     362.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11009.269 |     101.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11029.576 |     247.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11072.363 |      56.7 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11089.688 |     124.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  11090.35 |     124.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  11140.74 |      23.8 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11155.604 |      47.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11156.465 |      47.2 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11312.765 |     109.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11323.317 |      49.4 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11331.121 |     198.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11354.187 |     229.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11439.933 |     572.0 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
| 11484.358 |      2.84 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
|  11490.22 |      22.9 |  OH |    0 |    32 | nirspec_OH_R24000_vacuum.ascii |
