# Creation Date: 2018-Oct-07
# Creation Date: 2018-Oct-07
# Creation Date: 2018-Oct-07
# Creation Date: 2018-Oct-05
# Creation Date: 2018-Oct-05
# Creation Date: 2018-May-03
# Creation Date: 2018-May-03
# Creation Date: 2017-Mar-26
# Creation Date: 2017-Mar-26
# Creation Date: 2016-Dec-23
# Creation Date: 2016-Dec-22
# Creation Date: 2016-Dec-22
# Creation Date: 2016-Dec-22
|    ion |       wave | NIST | Instr |     amplitude |                     Source | line_flag |
| UNKNWN |  8823.0399 |    0 |    17 |       63995.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  8856.6397 |    0 |    17 |        6386.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  8864.7657 |    0 |    16 |         426.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  8868.1397 |    0 |    16 |        1037.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  8911.2525 |    0 |    16 |         279.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  8921.9735 |    0 |    16 |         551.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  8930.4273 |    0 |    17 |       64017.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  8983.5138 |    0 |    16 |         115.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  8990.4954 |    0 |    16 |         229.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9048.0426 |    0 |    17 |       56374.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  9076.7206 |    0 |    64 |          41.0 |  GMOS_R400_long_3_fit.json |         1 |
| UNKNWN |  9120.9824 |    0 |     1 |       64065.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  9151.5966 |    0 |    17 |        2883.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  9169.9731 |    0 |    16 |         522.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9303.7940 |    0 |    17 |        1780.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  9316.6048 |    0 |    16 |         130.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9320.0833 |    0 |    64 |          38.0 |  GMOS_R400_long_3_fit.json |         1 |
| UNKNWN |  9329.1264 |    0 |    16 |         262.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9364.6484 |    0 |    16 |          82.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9377.3536 |    0 |    17 |        2018.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  9414.6493 |    0 |    16 |          92.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9428.0474 |    0 |    16 |         201.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9447.9382 |    0 |    16 |         142.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9461.8837 |    0 |    16 |         116.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9516.2553 |    0 |    17 |        3541.0 |  lrisr_400_8500_PYPIT.json |        31 |
| UNKNWN |  9550.1037 |    0 |    16 |          90.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9668.0694 |    0 |    16 |         186.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9688.0470 |    0 |    16 |         122.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9720.8357 |    0 |    16 |          98.0 |   deimos_830G_r_PYPIT.json |        29 |
| UNKNWN |  9859.0534 |    0 |    16 |          95.0 |   deimos_830G_r_PYPIT.json |        29 |
